images\med_7d5c2b99_013.png	carbimazole 5mg
images\med_4bd10aff_002.png	vildagliptin 50mg
images\med_0133a0cb_016.png	50 mg
images\med_cb7204d4_003.png	10mg
images\med_befd0233_010.png	Calcium Carbonate 500Mg
images\med_befd0233_005.png	Calcium Sandoz 500mg
images\med_8efa4f6a_027.png	100 mcg
images\med_3d1f6924_011.png	Neurobion Forte
images\med_8fb8564a_012.png	cipla
images\med_49978219_014.png	RAMIPRIL 5MG TABLET
images\med_4bd10aff_022.png	vildagliptin
images\med_0133a0cb_019.png	Losartan 50 mg Tablet
images\med_34c88a9e_017.png	Januvia100mgTablet
images\med_fed4f81f_018.png	JARDIANCE 10MG TABLET
images\med_2291c346_018.png	Abbott India
images\med_febe41f1_004.png	sertraline hcl 50mg
images\med_ff4cc516_009.png	insulin isophane (nph) 100 iu/ml
images\med_9b4b4ce2_024.png	5MG
images\med_2ae45ccf_028.png	Sun Pharma
images\med_b3b2663f_006.png	etofylline + theophylline
images\med_e0edd5c4_000.png	CEFIXIME
images\med_43698167_021.png	25mg
images\med_933bc2d8_017.png	ors electral powder
images\med_635f0b97_013.png	mucinac 600mg effervescent tablet
images\med_64f45aaa_022.png	Furosemide 40 mg Tablet
images\med_8fb8564a_005.png	100Mcg
images\med_febe41f1_011.png	50 mg
images\med_97e744bf_026.png	Cetirizine Hcl 10Mg
images\med_d95c2b97_019.png	MetforminHCl
images\med_34c88a9e_023.png	SITAGLIPTIN
images\med_8b4252b2_021.png	glenmark
images\med_933bc2d8_009.png	franco-indian pharma
images\med_b65b6f2d_023.png	ATORVASTATIN CALCIUM
images\med_07dac638_010.png	BECOSULES CAPSULE
images\med_a8d76f91_026.png	1 mg + 0.035 mg
images\med_99374b8f_028.png	325 mg
images\med_da56c31b_014.png	clonazepam
images\med_be0f137d_010.png	500Mg + 250 Iu
images\med_54eb2f38_023.png	combiflam tablet
images\med_9b4b4ce2_008.png	5 mg
images\med_54eb2f38_002.png	ibuprofen + paracetamol
images\med_febe41f1_030.png	Sertraline HCl 50mg
images\med_c4c13132_019.png	GSKIndia
images\med_0abbc03e_010.png	ALPRAZOLAM 0.5MG
images\med_f162e9c8_021.png	OLMESARTAN 20MG
images\med_22377fd2_008.png	USV Pharma
images\med_63bdcdad_004.png	0.5%
images\med_289b4229_020.png	Zentel 400Mg Tablet
images\med_0133a0cb_013.png	Dr. Reddy's
images\med_8a5e5f83_016.png	timolol maleate 0.5%
images\med_34c88a9e_016.png	sitagliptin
images\med_7d0f40c9_003.png	norflox 400mg tablet
images\med_c126403b_020.png	DONEPEZIL HCL 5MG
images\med_1bffb35a_026.png	Metformin 500 mg Tablet
images\med_e7334590_000.png	CIPLA
images\med_5a94c15f_015.png	clotrimazole
images\med_befd0233_024.png	calcium carbonate
images\med_8fb8564a_014.png	Cipla
images\med_3d1f6924_022.png	MSD INDIA
images\med_280c681a_021.png	I-Pill 1.5 mg Tablet
images\med_e7334590_028.png	Doxycycline Hyclate 100Mg
images\med_11787c7d_018.png	Ferrous Sulphate 200Mg Tablet
images\med_e7334590_011.png	Doxycycline Hyclate 100mg
images\med_7f6dd7f5_024.png	Brufen400mgTablet
images\med_d95c2b97_003.png	1000 mg
images\med_befd0233_019.png	CALCIUM CARBONATE 500MG
images\med_294952e4_006.png	Dextromethorphan+Chlorpheniramine
images\med_22377fd2_005.png	ECOSPRIN 75MG TABLET
images\med_e93a0754_009.png	Paracetamol
images\med_d95c2b97_027.png	Glycomet 1gm Tablet
images\med_2291c346_007.png	LiquidParaffin+MilkofMagnesia
images\med_54eb2f38_010.png	SanofiIndia
images\med_9cb4a48b_016.png	Montelukast10mg
images\med_deb81d93_007.png	Betamethasone
images\med_659bda0a_022.png	Warfarin Sodium 5mg
images\med_8efa4f6a_017.png	levothyroxine
images\med_2291c346_016.png	LIQUID PARAFFIN + MILK OF MAGNESIA COMPOUND
images\med_d95c2b97_016.png	Glycomet 1Gm
images\med_89cd823e_008.png	paracetamol + propyphenazone + caffeine 250mg + 150mg + 50mg
images\med_9cb4a48b_004.png	Montelukast 10 mg
images\med_54eb2f38_019.png	Ibuprofen+Paracetamol
images\med_22377fd2_003.png	ecosprin 75mg
images\med_2171bf1c_018.png	Pregabalin
images\med_cb7204d4_018.png	Duphaston 10 mg Tablet
images\med_deb81d93_005.png	betnesol eye drop
images\med_5a6bf418_024.png	ELTROXIN 50MCG
images\med_2aefc1e7_026.png	500 mg
images\med_294952e4_015.png	grilinctus syrup
images\med_d9dc56e0_022.png	nitrofurantoin 100mg capsule
images\med_68cbc105_005.png	AMOXICILLIN + CLAVULANATE
images\med_b8518679_012.png	GLIMEPIRIDE 2MG
images\med_21924655_009.png	Dexamethasone0.5mg
images\med_a9a99c83_001.png	CIPLA
images\med_21924655_015.png	0.5Mg
images\med_64f45aaa_007.png	furosemide
images\med_933bc2d8_018.png	STANDARD WHO FORMULA
images\med_c0648a4e_005.png	ALENDRONATE 70MG TABLET
images\med_2d223f42_014.png	terbinafine hcl 250mg
images\med_f9979576_005.png	TramadolHCl50mg
images\med_a8d76f91_012.png	Mala-D Tablet
images\med_f9979576_001.png	Tramadol 50mg
images\med_2aefc1e7_009.png	RANBAXY
images\med_c4c13132_015.png	gsk india
images\med_e93a0754_026.png	650 mg
images\med_5a846311_022.png	Oseltamivir Phosphate 75mg
images\med_0133a0cb_011.png	Losartan50mg
images\med_8f908c02_003.png	Insulin Glargine 100 IU/ml
images\med_168cba08_020.png	Phenergan 25mg Tablet
images\med_deb81d93_000.png	BetnesolEyeDrop
images\med_c6d7e0de_001.png	LACTULOSE 10G SYRUP
images\med_f12eb12e_025.png	ROSUVASTATIN CALCIUM 10MG
images\med_5a846311_005.png	Oseltamivir 75 mg
images\med_db966d24_012.png	salmeterol + fluticasone 25mcg + 250mcg
images\med_ca0a8ab3_018.png	Clindamycin 300mg Capsule
images\med_54eb2f38_018.png	Ibuprofen + Paracetamol 400 mg + 325 mg
images\med_deb81d93_012.png	BETAMETHASONE
images\med_0f285d70_017.png	BetamethasoneValerate0.1%
images\med_dfe5d351_004.png	Lariago 250 mg
images\med_2171bf1c_005.png	Pregabalin 75Mg Capsule
images\med_d9dc56e0_020.png	GSK India
images\med_0abbc03e_006.png	0.5 mg
images\med_c6d7e0de_016.png	Lactulose10gSyrup
images\med_e7334590_018.png	doxycycline 100mg
images\med_5d008352_009.png	Fluoxetine 20Mg Capsule
images\med_2ae45ccf_009.png	AmlodipineBesylate5mg
images\med_febe41f1_008.png	Sertraline HCl 50 mg
images\med_c0648a4e_021.png	Alendronate 70 mg
images\med_7c8a8df6_017.png	400 mg
images\med_8d46c2a1_015.png	cipla
images\med_018099b1_011.png	2MG
images\med_8f908c02_024.png	Lantus100IUInjection
images\med_db3d2896_011.png	DICLOFENAC SODIUM 50MG
images\med_db3d2896_026.png	Voveran50mgTablet
images\med_8c9c87eb_016.png	phenylephrine 10mg
images\med_2aefc1e7_018.png	MOX 500MG
images\med_0f285d70_020.png	BETAMETHASONE VALERATE 0.1%
images\med_696ae1bd_012.png	Cholecalciferol
images\med_febe41f1_015.png	SertralineHCl50mg
images\med_b65b6f2d_000.png	Atorvastatin 10mg
images\med_b8518679_016.png	2Mg
images\med_63bdcdad_010.png	Moxifloxacin Hcl
images\med_2171bf1c_017.png	Pregabalin75mg
images\med_11787c7d_005.png	FerrousSulphate
images\med_e93a0754_001.png	PARACETAMOL
images\med_a8d76f91_015.png	HLLLifecare
images\med_e7334590_003.png	100MG
images\med_7d0f40c9_019.png	400MG
images\med_cb7204d4_014.png	Dydrogesterone 10mg
images\med_c126403b_007.png	5 mg
images\med_f162e9c8_026.png	20 mg
images\med_c4dace63_006.png	SunPharma
images\med_5d008352_004.png	20MG
images\med_8a5e5f83_005.png	timolol 0.5% eye drop
images\med_89cd823e_021.png	bayer india
images\med_59978ce5_012.png	benadryl cough syrup syrup
images\med_0b20efea_009.png	Nimesulide 100mg
images\med_25d144ba_007.png	4 mg
images\med_0abbc03e_013.png	SUN PHARMA
images\med_7c8a8df6_006.png	METRONIDAZOLE
images\med_8f908c02_029.png	LANTUS 100IU INJECTION
images\med_81d90895_012.png	Cholecalciferol
images\med_97e744bf_025.png	10Mg
images\med_7dad208c_007.png	Omez20mgCapsule
images\med_018099b1_019.png	2Mg
images\med_63bdcdad_000.png	sun pharma
images\med_febe41f1_012.png	SUN PHARMA
images\med_34c88a9e_025.png	Januvia 100 mg
images\med_223d0157_017.png	folic acid
images\med_3b9ad30b_001.png	Amitriptyline 25 mg Tablet
images\med_f162e9c8_001.png	Olsar20mgTablet
images\med_c4bbc34a_000.png	CIPLA
images\med_cb7204d4_023.png	DUPHASTON 10MG TABLET
images\med_3b9ad30b_009.png	25MG
images\med_11787c7d_013.png	Ferrous Sulphate 200Mg
images\med_0abbc03e_015.png	Alprazolam 0.5mg
images\med_63bdcdad_009.png	MoxifloxacinEyeDrop
images\med_8d46c2a1_006.png	Atenolol 50Mg
images\med_8a5e5f83_002.png	sun pharma
images\med_b3b2663f_019.png	etofylline + theophylline 150mg + 25mg
images\med_e37fc85a_019.png	cipla
images\med_f162e9c8_018.png	olmesartan 20mg
images\med_7c3ed740_014.png	25MG
images\med_4bd10aff_015.png	Galvus 50Mg
images\med_25d144ba_000.png	Ondansetron 4 mg Tablet
images\med_7dad208c_005.png	OMEPRAZOLE
images\med_db3d2896_028.png	Diclofenac Sodium 50 mg
images\med_8efa4f6a_024.png	Thyronorm 100mcg
images\med_89cd823e_016.png	BayerIndia
images\med_8efa4f6a_005.png	THYRONORM 100MCG TABLET
images\med_34c88a9e_001.png	Sitagliptin
images\med_3d1f6924_001.png	B1+B6+B12Complex
images\med_223d0157_012.png	FOLIC ACID 5MG TABLET
images\med_54eb2f38_024.png	SANOFI INDIA
images\med_f12eb12e_013.png	Rosuvastatin10mg
images\med_e37fc85a_003.png	Fluconazole 150Mg Capsule
images\med_59978ce5_019.png	Benadryl Cough Syrup
images\med_7dad208c_003.png	OMEPRAZOLE 20MG
images\med_9b1b6f11_006.png	Acyclovir
images\med_febe41f1_018.png	SERTRALINE 50MG
images\med_8b4252b2_005.png	ITRACONAZOLE 100MG CAPSULE
images\med_7cbe86e2_009.png	Paracetamol
images\med_1e668cd4_021.png	40mg
images\med_0133a0cb_009.png	Losartan Potassium 50mg
images\med_2ae45ccf_025.png	AMLODIPINE BESYLATE 5MG
images\med_8c9c87eb_006.png	PHENYLEPHRINE
images\med_9b4b4ce2_022.png	wysolone 5mg tablet
images\med_21924655_020.png	dexamethasone
images\med_6678f79a_004.png	allegra 120mg tablet
images\med_cb7204d4_015.png	10 mg
images\med_7c8a8df6_001.png	METROGYL 400MG
images\med_34c88a9e_015.png	MSDIndia
images\med_deb81d93_008.png	Gsk India
images\med_21924655_014.png	Cipla
images\med_b3b2663f_002.png	Etofylline+Theophylline
images\med_8a5e5f83_015.png	TIMOLOL 0.5% EYE DROP
images\med_b3b2663f_014.png	DeriphyllinRetard
images\med_7dad208c_016.png	omez 20mg
images\med_fed4f81f_000.png	empagliflozin 10mg
images\med_018099b1_006.png	risperidone
images\med_8b4252b2_014.png	ITRACONAZOLE
images\med_1e668cd4_006.png	Telmisartan
images\med_97e744bf_029.png	CETIRIZINE 10MG
images\med_2aefc1e7_002.png	Mox500mgCapsule
images\med_933bc2d8_000.png	ORS ELECTRAL POWDER
images\med_3a1940c1_024.png	Ranitidine 150 mg
images\med_d95c2b97_011.png	Glycomet 1Gm Tablet
images\med_68cbc105_030.png	amoxicillin + clavulanate
images\med_fed4f81f_004.png	jardiance 10mg
images\med_a8d76f91_019.png	MALA-D TABLET TABLET
images\med_a9a99c83_000.png	tamsulosin 0.4mg capsule
images\med_de61ea08_006.png	LORATADINE 10MG TABLET
images\med_db3d2896_025.png	VOVERAN 50MG TABLET
images\med_f12eb12e_029.png	10Mg
images\med_a9a99c83_009.png	0.4MG
images\med_db966d24_002.png	Salmeterol+Fluticasone25mcg+250mcg
images\med_018099b1_015.png	RISPERIDONE 2MG
images\med_659bda0a_012.png	Warfarin 5Mg
images\med_5d008352_025.png	Fluoxetine 20 mg
images\med_f162e9c8_024.png	Daiichi Sankyo
images\med_289b4229_024.png	Albendazole
images\med_dfe5d351_007.png	IPCA Laboratories
images\med_3b9ad30b_004.png	Amitriptyline25mg
images\med_3d1f6924_005.png	neurobion forte tablet
images\med_e0edd5c4_008.png	Cefixime200mg
images\med_2aefc1e7_017.png	Mox 500mg Capsule
images\med_e93a0754_019.png	DOLO 650MG
images\med_6678f79a_012.png	fexofenadine 120mg
images\med_b8518679_005.png	Glimepiride
images\med_2d223f42_019.png	Terbinafine 250mg Tablet
images\med_89cd823e_020.png	PARACETAMOL + PROPYPHENAZONE + CAFFEINE 250MG + 150MG + 50MG
images\med_ff4cc516_001.png	100 iu/ml
images\med_8efa4f6a_016.png	Levothyroxine100mcg
images\med_1e668cd4_022.png	40MG
images\med_a9a99c83_005.png	Tamsulosin 0.4 mg Capsule
images\med_07dac638_022.png	VitaminB-ComplexStandard
images\med_54eb2f38_022.png	400MG + 325MG
images\med_8c9c87eb_004.png	10mg
images\med_d7548961_010.png	Gabapentin 300mg
images\med_223d0157_010.png	Folic Acid 5 mg Tablet
images\med_3b9ad30b_010.png	Amitriptyline Hcl 25Mg
images\med_9cb4a48b_027.png	Montair10mgTablet
images\med_db3d2896_001.png	DiclofenacSodium
images\med_168cba08_023.png	Phenergan25mgTablet
images\med_b65b6f2d_008.png	Atorvastatin 10 mg Tablet
images\med_5a846311_007.png	Oseltamivir75mg
images\med_659bda0a_006.png	WARFARIN 5MG TABLET
images\med_d7548961_019.png	gabapentin 300mg capsule
images\med_06d5617a_012.png	500Mg
images\med_fed4f81f_015.png	Boehringer Ingelheim
images\med_8f908c02_021.png	Lantus100IU
images\med_933bc2d8_024.png	Ors Electral Powder Powder
images\med_d95c2b97_021.png	USV PHARMA
images\med_d7548961_018.png	Gabapentin300mgCapsule
images\med_68cbc105_021.png	augmentin 625mg
images\med_7d0f40c9_002.png	norfloxacin
images\med_635f0b97_016.png	Cipla
images\med_fed4f81f_017.png	Empagliflozin
images\med_81d90895_006.png	CADILA HEALTHCARE
images\med_f162e9c8_007.png	olsar 20mg tablet
images\med_ff4cc516_003.png	HUMINSULIN N 100IU INJECTION
images\med_7cbe86e2_010.png	Crocin 500 mg
images\med_7d5c2b99_027.png	Neomercazole 5 mg
images\med_64f45aaa_020.png	sanofi india
images\med_2d223f42_015.png	Terbinafine Hcl
images\med_be0f137d_023.png	Shelcal500mgTablet
images\med_8f908c02_018.png	Sanofi India
images\med_59978ce5_007.png	Diphenhydramine + Ammonium Chloride + Sodium Citrate
images\med_7c8a8df6_016.png	J.B.Chemicals
images\med_9d7fdef9_007.png	MULTIVITAMIN + MULTIMINERALS
images\med_c6d7e0de_028.png	Lactulose 10G/15Ml
images\med_c4c13132_006.png	Digoxin0.25mg
images\med_c126403b_022.png	Donepezil HCl 5 mg
images\med_5a6bf418_003.png	50 mcg
images\med_d9dc56e0_006.png	GSK INDIA
images\med_3b9ad30b_002.png	amitriptyline hcl 25mg
images\med_2ae45ccf_027.png	5mg
images\med_8efa4f6a_001.png	Thyronorm 100mcg Tablet
images\med_0133a0cb_020.png	LosartanPotassium
images\med_35bc51a1_005.png	Pantop40mg
images\med_8b4252b2_004.png	100Mg
images\med_635f0b97_008.png	N-Acetylcysteine600mg
images\med_1e668cd4_013.png	Telma 40mg Tablet
images\med_54eb2f38_006.png	COMBIFLAM TABLET TABLET
images\med_5d008352_003.png	FLUOXETINE 20MG CAPSULE
images\med_9cb4a48b_021.png	montelukast
images\med_0f1728cf_018.png	MethylPrednisolone4mg
images\med_0133a0cb_023.png	dr. reddy's
images\med_9cb4a48b_008.png	Montair10mg
images\med_8d46c2a1_021.png	atenolol 50mg tablet
images\med_b3b2663f_007.png	DeriphyllinRetardTablet
images\med_d9dc56e0_013.png	100mg
images\med_89cd823e_022.png	SARIDON TABLET TABLET
images\med_9b1b6f11_004.png	Acyclovir 400mg Tablet
images\med_68cbc105_019.png	gsk india
images\med_0133a0cb_008.png	losartan potassium 50mg
images\med_635f0b97_001.png	Mucinac 600mg Effervescent Tablet
images\med_07dac638_014.png	becosules capsule capsule
images\med_b3b2663f_012.png	Franco-Indian Pharma
images\med_07dac638_013.png	pfizer india
images\med_e93a0754_028.png	MICRO LABS
